Date,Open,High,Low,Close,Adj Close,Volume
1/12/2023,144.880005,146.660004,144.520004,145.550003,141.84967,2715900
1/13/2023,144.059998,146.100006,144.009995,145.889999,142.18103,2455700
1/17/2023,146.419998,147.179993,145.009995,145.190002,141.498825,2986500
1/18/2023,144.399994,144.679993,140.229996,140.410004,136.840347,6445600
1/19/2023,140,142.229996,139.75,140.619995,137.044998,4833900
1/20/2023,141.669998,141.860001,140.509995,141.199997,137.61026,7153300
1/23/2023,141.399994,142.990005,141.059998,141.860001,138.253494,5898400
1/24/2023,141.25,142.75,140,141.490005,137.892899,4407600
1/25/2023,140.470001,141.029999,139.360001,140.759995,137.181442,7347500
1/26/2023,137.529999,138.270004,132.979996,134.449997,131.03186,17548500
1/27/2023,134.440002,135.490005,133.770004,134.389999,130.973389,8143100
1/30/2023,134.320007,136.110001,133.979996,135.300003,131.86026,5375700
1/31/2023,135.5,135.649994,133.759995,134.729996,131.304749,7206400
2/1/2023,134.490005,135.789993,132.800003,135.089996,131.655594,5428900
2/2/2023,135.960007,136.720001,134.850006,136.389999,132.922546,6107800
2/3/2023,136.350006,136.949997,135.529999,136.940002,133.458557,3755700
2/6/2023,135.830002,136.320007,134.949997,136.179993,132.71788,4841300
2/7/2023,135.669998,136.399994,134.449997,135.839996,132.38652,3737600
2/8/2023,135.710007,136.740005,135.160004,135.979996,132.522964,4593700
2/9/2023,134.990005,135.729996,133.339996,133.75,131.950775,3918800
2/10/2023,133.779999,135.770004,133.5,135.600006,133.775894,5049600
2/13/2023,136,137.389999,135.850006,137.350006,135.50235,4403000
2/14/2023,137.050003,137.240005,135.050003,136.009995,134.180359,3202200
2/15/2023,135.199997,136.449997,135.070007,136.399994,134.565125,2506700
2/16/2023,135.570007,135.970001,134.589996,135,133.18396,2965500
2/17/2023,134.5,135.580002,133.889999,135.020004,133.20369,3466200
2/21/2023,134,134.389999,131.660004,131.710007,129.938217,4257200
2/22/2023,131.899994,131.990005,130.289993,130.970001,129.208176,3200200
2/23/2023,131.5,131.699997,128.860001,130.789993,129.030579,3725600
2/24/2023,129.619995,130.669998,129.220001,130.570007,128.813553,3015800
2/27/2023,131.419998,131.869995,130.130005,130.490005,128.734634,2761300
2/28/2023,130.550003,130.610001,129.139999,129.300003,127.560638,5143100
3/1/2023,128.899994,129.470001,127.739998,128.190002,126.465569,3760700
3/2/2023,128.389999,129.220001,127.709999,128.929993,127.195602,3340100
3/3/2023,129.350006,129.910004,128.770004,129.639999,127.896057,2860300
3/6/2023,129.639999,130.860001,129.589996,130.190002,128.43866,3131200
3/7/2023,130.279999,130.419998,128.190002,128.25,126.524757,3530400
3/8/2023,128.479996,128.740005,127.550003,128.050003,126.327454,2778800
3/9/2023,128.300003,128.529999,125.980003,126.160004,124.462875,5478300
3/10/2023,126.120003,127.290001,125.129997,125.449997,123.762421,5990900
3/13/2023,125.150002,128.190002,124.849998,125.580002,123.890678,8188400
3/14/2023,126.489998,126.639999,123.199997,124.650002,122.97319,8114800
3/15/2023,122.989998,123.349998,121.709999,123.279999,121.621613,5989300
3/16/2023,122.959999,124.82,121.919998,124.699997,123.022514,6438700
3/17/2023,124.080002,124.519997,122.93,123.690002,122.0261,37400200
3/20/2023,124.309998,126.160004,124.190002,125.940002,124.245834,4588300
3/21/2023,126.900002,127.150002,125.660004,126.57,124.867355,3856300
3/22/2023,127,127.220001,124.010002,124.050003,122.381264,3549000
3/23/2023,123.809998,124.93,122.599998,123.370003,121.710411,4651900
3/24/2023,123.360001,125.400002,122.879997,125.290001,123.604576,3812300
3/27/2023,126.470001,130.259995,126.470001,129.309998,127.570496,6524100
3/28/2023,129.179993,129.660004,128.800003,129.339996,127.60009,2888900
3/29/2023,130.119995,130.350006,129.179993,129.710007,127.965126,3279600
3/30/2023,130.160004,131.479996,129.100006,129.220001,127.481712,3561800
3/31/2023,129.470001,131.229996,129.419998,131.089996,129.326553,4524700
4/3/2023,130.970001,132.610001,130.770004,132.059998,130.283508,3840100
4/4/2023,131.990005,132.149994,130.889999,131.600006,129.829697,3382800
4/5/2023,131.369995,132.610001,131.369995,132.139999,130.362427,2898700
4/6/2023,132.160004,132.600006,130.320007,130.5,128.744492,3050600
4/10/2023,129.830002,131.080002,129.240005,131.029999,129.267365,2614400
4/11/2023,130.580002,131.100006,130.179993,130.419998,128.665573,3132400
4/12/2023,130.399994,130.889999,128.169998,128.539993,126.810852,3957500
4/13/2023,128.009995,128.389999,126,127.900002,126.179466,5621500
4/14/2023,128.460007,129.839996,127.309998,128.139999,126.416237,4180600
4/17/2023,128.300003,128.720001,126.800003,127.82,126.10054,3662700
4/18/2023,128.139999,128.679993,127.349998,127.779999,126.061081,3193800
4/19/2023,126.5,126.980003,125.300003,126.32,124.62072,7014400
4/20/2023,130.149994,130.979996,125.839996,126.360001,124.660187,9749600
4/21/2023,126,126.699997,125.269997,125.730003,124.038658,6725400
4/24/2023,125.550003,126.050003,124.559998,125.400002,123.713097,4043900
4/25/2023,124.900002,126.190002,124.760002,125.889999,124.196503,4275400
4/26/2023,125.809998,126.550003,125.120003,125.849998,124.157043,4070200
4/27/2023,126.370003,127.019997,125.459999,126.970001,125.261978,3204900
4/28/2023,126.580002,127.25,125.639999,126.410004,124.709511,5060500
5/1/2023,126.349998,126.75,126.059998,126.089996,124.393814,2725000
5/2/2023,126.300003,126.449997,123.269997,125.160004,123.476326,4445300
5/3/2023,125.459999,125.57,123.260002,123.449997,121.78933,4554200
5/4/2023,123.029999,123.519997,121.760002,122.57,120.921165,4468200
5/5/2023,123.110001,124.099998,122.809998,123.650002,121.986641,4970800
5/8/2023,123.760002,123.919998,122.550003,123.400002,121.740005,3663800
5/9/2023,121.900002,121.970001,120.660004,121.169998,121.169998,4540000
5/10/2023,121.989998,122.489998,121.099998,122.019997,122.019997,4189200
5/11/2023,122.019997,122.239998,120.550003,120.900002,120.900002,3446500
5/12/2023,121.410004,122.860001,121.110001,122.839996,122.839996,4560500
5/15/2023,123,123.690002,122.339996,123.360001,123.360001,2915700
5/16/2023,123.349998,123.860001,122.449997,123.459999,123.459999,2748400
5/17/2023,123.940002,125.849998,123.470001,125.709999,125.709999,4515100
5/18/2023,125.300003,126.510002,125.190002,126.150002,126.150002,3797900
5/19/2023,126.790001,128.289993,126.550003,127.260002,127.260002,4305800
5/22/2023,127.5,128.190002,127.150002,127.5,127.5,2806800
